Datetime,Open,High,Low,Close,Volume
2025-11-26 09:00:00-05:00,611.81,612.42,611.31,611.99,340462.0
2025-11-26 10:00:00-05:00,612.07,613.9,610.39,610.74,6398809.0
2025-11-26 11:00:00-05:00,610.79,613.84,610.57,613.77,6506689.0
2025-11-26 12:00:00-05:00,613.78,616.19,613.5,615.76,5660273.0
2025-11-26 13:00:00-05:00,615.74,616.06,614.68,615.39,4129337.0
2025-11-26 14:00:00-05:00,615.43,615.83,613.95,614.99,4245589.0
2025-11-26 15:00:00-05:00,614.99,615.72,614.32,615.2,3452287.0
2025-11-26 16:00:00-05:00,615.18,615.85,614.26,614.52,8114403.0
2025-11-26 17:00:00-05:00,614.49,615.1401,614.27,614.83,1194692.0
2025-11-26 18:00:00-05:00,614.8579,615.19,614.64,615.11,57581.0
2025-11-26 19:00:00-05:00,615.07,615.27,614.76,615.01,54181.0
2025-11-26 20:00:00-05:00,615.0912,615.21,614.8,615.2,44197.0
